ID,name,task,aux_classification,label_folder,aug_settings,seed,val_fold,epochs,batch_size,negatives,positives_fraction,use_early_stopping,es_patience,model,pretrained,input_channels,N_classes,init_method,loss_function,aux_loss_function,frequency_weighting,focal_gamma,focal_class_weights,loss_weights,aux_weight,optimizer,learning_rate,lr_decay_patience,lr_decay_factor,start_run,end_run,best_val_loss
1,ViT_strong,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",1,0,100,8,4,1.0,True,10,ViT,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/27/2024 22:27:28,05/27/2024 23:26:44,0.393317055
2,ViT_strong,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",2,1,100,8,4,1.0,True,10,ViT,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/27/2024 23:26:44,05/28/2024 01:30:01,0.389191439
3,ViT_strong,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",3,2,100,8,4,1.0,True,10,ViT,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/28/2024 01:30:01,05/28/2024 03:01:17,0.382039836
4,ViT_strong,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",4,3,100,8,4,1.0,True,10,ViT,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/28/2024 03:01:17,05/28/2024 04:07:27,0.436076777
5,ViT_strong,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",5,4,100,8,4,1.0,True,10,ViT,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/28/2024 04:07:27,05/28/2024 05:29:52,0.418991077
6,Swin,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",6,0,100,8,4,1.0,True,10,Swin,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/28/2024 05:29:52,05/28/2024 19:10:59,0.320943888
11,DeiT,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",11,0,100,8,4,1.0,True,10,DeiT,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/28/2024 19:28:25,05/28/2024 23:05:36,0.3244014611680931
12,DeiT,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",12,1,100,8,4,1.0,True,10,DeiT,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/28/2024 23:05:36,05/29/2024 02:56:58,0.3297904134435905
0013,DeiT,frame_classification,False,frames_1,"{'add_intensity': (0.5, {'intensity_range': (-0.2, 0.2)}), 'multiply_intensity': (0.5, {'max_factor': 1.2}), 'gamma_shift': (0.5, {'gamma_range': (0.7, 3.0)}), 'gaussian_blur': (0.25, {'sigma_range': (0.0, 3.0)}), 'gaussian_noise': (0.25, {'sigma': 0.1}), 'temporal_reflection': (0.0, {}), 'vertical_reflection': (0.5, {}), 'horizontal_translation': (0.5, {'max_translation': 0.25}), 'vertical_translation': (0.5, {'max_translation': 0.4}), 'rotation': (0.5, {'max_degrees': 20}), 'scale': (0.5, {'max_scale': 1.25}), 'occlusion': (1.0, {'max_height': 0.4, 'max_width': 0.4})}",13,2,100,8,4,1.0,True,10,DeiT,True,3,2,kaiming_normal,BCE_loss,BCE_loss,True,0.0,"[1, 1]","[1, 1]",0.0,adam,2e-06,5,0.5,05/29/2024 03:12:29,05/29/2024 06:44:01,0.3689008988453189
